エリア,会社名,対応可否,優先順位,連絡先メール,電話番号,担当者名,民泊清掃実績,提携ステータス,直近の反応日,備考
大阪,大阪民泊清掃代行株式会社,,,,,,有,未接触,,完全清掃プラン・追加料金なし。https://minpaku-cleaning-agency.com/
大阪,民泊運営清掃代行株式会社,,,,,,有,未接触,,清掃＋リネン一括。https://minpaku-agency.com/cleaning/osaka/
大阪,株式会社ジョブシェアパートナーズ,,,,,,有,未接触,,清掃/リネン3プラン。https://jobshare-partners.com/minpakuclean/
大阪,クリーンアップサポート,,,,,,有,未接触,,ホテル仕様リネン・柔軟対応。https://cleanupsupport.com/
大阪,ゲスト（guest-bnb）,,,,,,有,未接触,,東京/大阪・現地対応12年。https://www.guest-bnb.com/linensupply
神戸,ワンアンドオンリー ホームサービス,,,,,,有,未接触,,大阪・難波・神戸のAirbnb清掃代行。https://airbnb.kazidaiko.jp/
奈良,エアコンシェル,,,,,,有,未接触,,大阪・京都・奈良の民泊運営/清掃。https://www.airconcier.com/housekeep/
和歌山,,,,,,,不明,未接触,,地元業者はくらしのマーケット和歌山 https://curama.jp/vacation-rental-cleaning/wakayama/ で要確認／全国対応3社も可
倉敷,,,,,,,不明,未接触,,岡山・倉敷。全国対応3社＋くらしのマーケット岡山で地元業者を要確認
尾道,,,,,,,不明,未接触,,広島・尾道。全国対応3社＋くらしのマーケット広島で地元業者を要確認
高松,クリーンサービスのぞみ,,,,,,有,未接触,,香川の民泊/宿泊所の客室清掃。https://www.cleanservice-nozomi.com/
松山,,,,,,,不明,未接触,,愛媛・松山。全国対応3社＋くらしのマーケット愛媛で地元業者を要確認
福岡,日本エージェント,,,,,,有,未接触,,福岡拠点。ビル/ホテル/民泊清掃。https://japan-agent.co.jp/cleaning/agency/
福岡,おへやキラリ,,,,,,有,未接触,,1R3000円〜。https://oheyakirari.com/seisoudaikou-fukuoka/
福岡,おうちキラリ,,,,,,有,未接触,,福岡市・北九州近郊。https://ouchikirari.com/business/minpaku
長崎,おそうじ革命 長崎市,,,,,,有,未接触,,深夜早朝・短時間ターン対応。https://www.osoujikakumei.jp/business-cleaning/bnb-cleaning/nagasaki/nagasaki-shi/
長崎,CocoPaku,,,,,,有,未接触,,運営代行＋現地清掃チーム連携。https://cocopaku.com/
鹿児島,,,,,,,不明,未接触,,地元業者はゼヒトモで要確認 https://www.zehitomo.com/home/cleaning/other-cleaning/airbnb-cleaner/kagoshima ／全国対応3社でも対応可
別府,M's B（大分エリア）,,,info@ms-b.jp,,,有,未接触,,全国対応で大分カバー。地元業者はくらしのマーケット別府 https://curama.jp/vacation-rental-cleaning/oita/2/ で要確認
湯布院,,,,,,,不明,未接触,,由布市。全国対応3社＋くらしのマーケット大分で地元業者を要確認
阿蘇,,,,,,,不明,未接触,,近隣熊本市の民泊清掃＋全国対応3社でカバー。地元業者は要確認
石垣島,株式会社CORE,,,,,,有,未接触,,石垣島の旅館業・民泊運営代行。https://corecompany.jp/services-02/
石垣島,i-STAY,,,,,,有,未接触,,石垣島特化ワンストップ運営代行。https://i-stay.co.jp/
石垣島,株式会社ミナミ,,,,,,有,未接触,,石垣島の宿泊運営サポート。https://minami-ishigaki.com/
石垣島,株式会社Five-Star,,,,,,有,未接触,,沖縄本島全域＋石垣・宮古対応。https://www.fv-st.jp/
宮古島,株式会社laf,,,,,,有,未接触,,ヴィラ/一棟貸し・プール清掃対応。https://laf-inc.co.jp/
宮古島,MSマルセイサポート,,,,,,有,未接触,,宮古島内全域。http://ms.marusei.okinawa/
宮古島,GOSTAY,,,,,,有,未接触,,宮古島の民泊運営代行。https://gostay.jp/area/miyako/
那覇,株式会社Five-Star,,,,,,有,未接触,,沖縄本島全域＋離島。https://www.fv-st.jp/
那覇,Bee-Clean,,,,,,有,未接触,,沖縄専門Airbnb清掃。https://bee-clean.wixsite.com/okinawa
那覇,マスタークリーンサービス,,,,,,有,未接触,,沖縄専門・中部は交通費無料。https://www.masterclean.jp/airbnb
那覇,エアークリーン,,,,,,有,未接触,,那覇周辺のAirbnb清掃・リネン。https://www.aircreen.com/okinawa
那覇,エコピース,,,,,,有,未接触,,沖縄の民泊清掃代行。https://ecopeace-okinawa.com/lp/minpak_cleaning/
恩納,株式会社Five-Star,,,,,,有,未接触,,沖縄本島全域。https://www.fv-st.jp/
恩納,マスタークリーンサービス,,,,,,有,未接触,,中部エリア交通費無料。https://www.masterclean.jp/
名護,株式会社Five-Star,,,,,,有,未接触,,沖縄本島全域（北部）。https://www.fv-st.jp/
名護,マスタークリーンサービス,,,,,,有,未接触,,沖縄本島。https://www.masterclean.jp/
